parent,role,permlevel,read,write,create,delete,submit,cancel,amend,report,export,import,share,print,email,if_owner,modified
Branch,HR Manager,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:08:20.607367
Brand,Sales User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:20.421375
Brand,Stock User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:20.421375
Brand,Accounts User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:20.421375
Brand,Purchase User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:20.421375
Brand,Item Manager,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:08:20.421375
Budget,Accounts Manager,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2026-02-13 14:08:06.560127
Bulk Transaction Log,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:35.243613
Bulk Transaction Log Detail,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:35.273328
Bulk Update,System Manager,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:07:55.353968
Buying Settings,Stock Manager,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:15.841936
Buying Settings,Purchase Manager,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,2026-02-13 14:08:15.841936
Buying Settings,Accounts User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:15.841936
Buying Settings,System Manager,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:15.841936
Buying Settings,Accounts Manager,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:15.841936
Buying Settings,Stock User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:15.841936
Buying Settings,Purchase User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:15.841936
Calendar View,Desk User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:07:54.332669
Calendar View,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:54.332669
Call Log,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:35.000286
Call Log,Employee,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:35.000286
Campaign,Sales Master Manager,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:08:14.657037
Campaign,Sales User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:14.657037
Campaign,Sales Manager,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,2026-02-13 14:08:14.657037
Cashier Closing,System Manager,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.590886
Certificate,System Manager,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-02-22 16:03:42.385622
Certificate,QA Manager,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-02-22 16:03:42.386069
Changelog Feed,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:54.112387
Chart of Accounts Importer,Accounts Manager,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2026-02-13 14:08:10.909968
Cheque Print Template,Accounts User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:06.640024
Cheque Print Template,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:06.640024
Cheque Print Template,Accounts Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:06.640024
Client Script,Administrator,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:46.083035
Client Script,System Manager,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:46.083035
Code List,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:36.214698
Color,Website Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:51.330995
