name,module,custom,issingle,istable,is_submittable,autoname,naming_rule,title_field,search_fields,sort_field,sort_order,quick_entry,allow_rename,allow_copy,allow_import,allow_guest_to_view,restrict_to_domain,editable_grid,track_changes,read_only,in_create,is_tree,show_name_in_global_search,beta,modified
Supplier Scorecard Standing,Buying,0,0,0,0,field:standing_name,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:50.574065
Supplier Scorecard Variable,Buying,0,0,0,0,field:variable_label,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:50.711158
Support Search Source,Support,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:50.849602
Support Settings,Support,0,1,0,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2026-01-02 18:18:11.475222
System Console,Desk,0,1,0,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-05-28 09:26:57.614890
System Health Report,Desk,0,1,0,0,,,,,creation,DESC,0,0,0,0,0,,0,0,0,0,0,0,1,2024-05-02 13:32:16.495750
System Health Report Errors,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-04-19 17:10:43.199907
System Health Report Failing Jobs,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-04-22 11:46:53.574720
System Health Report Queue,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-04-19 15:47:47.592170
System Health Report Tables,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-04-19 15:46:57.993123
System Health Report Workers,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2024-04-19 15:44:52.298443
System Settings,Core,0,1,0,0,,,,,creation,DESC,1,0,0,0,0,,0,1,0,0,0,0,0,2026-01-02 18:13:45.430712
Tag,Desk,0,0,0,0,Prompt,,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2024-03-23 16:03:39.682626
Tag Link,Desk,0,0,0,0,,,,,creation,DESC,0,0,0,0,0,,1,0,1,0,0,0,0,2025-02-04 12:02:03.779623
Target Detail,Setup,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:51.347225
Task,Projects,0,0,0,0,TASK-.YYYY.-.#####,Expression (old style),subject,subject,creation,DESC,1,0,0,1,0,,0,0,0,0,1,1,0,2025-10-16 08:39:12.214577
Task Depends On,Projects,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:51.702279
Task Type,Projects,0,0,0,0,Prompt,Set by user,,,creation,ASC,1,0,0,0,0,,0,1,0,0,0,0,0,2024-03-27 13:10:51.823692
Tax Category,Accounts,0,0,0,0,field:title,By fieldname,,,creation,DESC,1,1,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:51.976600
Tax Rule,Accounts,0,0,0,0,ACC-TAX-RULE-.YYYY.-.#####,,,,creation,DESC,0,1,0,1,0,,0,0,0,0,0,1,0,2024-03-27 13:10:52.121252
Tax Withholding Account,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-04-30 10:26:48.218294
Tax Withholding Category,Accounts,0,0,0,0,Prompt,Set by user,,,creation,DESC,0,1,0,1,0,,1,1,0,0,0,0,0,2025-07-30 07:13:51.785735
Tax Withholding Entry,Accounts,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2025-12-22 09:07:26.701207
Tax Withholding Group,Accounts,0,0,0,0,field:group_name,By fieldname,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2025-06-29 05:25:50.243710
